bam,prop. sites covered >5x
Pool_10_S10_L002_R1_001_GCTT.trim.bt2.bam,0.76285792
Pool_1_S1_L001_R1_001_GTGA.trim.bt2.bam,0.763096427
Pool_20_S4_L001_R1_001_AGAC.trim.bt2.bam,0.763137455
Pool_8_S8_L001_R1_001_CATC.trim.bt2.bam,0.763366854
Pool_18_S2_L001_R1_001_AGAC.trim.bt2.bam,0.765233545
Pool_16_S16_L002_R1_001_TGTC.trim.bt2.bam,0.765302838
Pool_1_S1_L001_R1_001_CTAC.trim.bt2.bam,0.76762371
Pool_5_S5_L001_R1_001_TGGT.trim.bt2.bam,0.768231677
Pool_17_S1_L001_R1_001_TCAC.trim.bt2.bam,0.768967627
Pool_3_S3_L001_R1_001_TGGT.trim.bt2.bam,0.770921141
Pool_8_Jaskiel_Lane1_S8_L003_R1_001_TCAC.trim.bt2.bam,0.771110052
Pool_3_S3_L001_R1_001_TCAG.trim.bt2.bam,0.772265232
Pool_7_S7_L001_R1_001_ACCA.trim.bt2.bam,0.772804704
Pool_4_S4_L001_R1_001_TGGT.trim.bt2.bam,0.772911365
Pool_20_S4_L001_R1_001_TCAG.trim.bt2.bam,0.774104722
Pool_11_S11_L002_R1_001_GCTT.trim.bt2.bam,0.775310518
Pool_9_S9_L002_R1_001_CATC.trim.bt2.bam,0.77532281
Pool_5_S5_L001_R1_001_ACCA.trim.bt2.bam,0.775693481
Pool_5_Jaskiel_Lane1_S5_L003_R1_001_TGGT.trim.bt2.bam,0.77632185
Pool_10_Jaskiel_Lane2_S10_L004_R1_001_CATC.trim.bt2.bam,0.779633978
Pool_7_Jaskiel_Lane1_S7_L003_R1_001_AGTG.trim.bt2.bam,0.77989427
Pool_16_S16_L002_R1_001_TCAG.trim.bt2.bam,0.78071548
Pool_2_S2_L001_R1_001_GTGA.trim.bt2.bam,0.781668609
Pool_14_S14_L002_R1_001_GCTT.trim.bt2.bam,0.783609199
Pool_16_S16_L002_R1_001_AGAC.trim.bt2.bam,0.783776966
Pool_12_S12_L002_R1_001_CATC.trim.bt2.bam,0.784894026
Pool_6_Jaskiel_Lane1_S6_L003_R1_001_TCAG.trim.bt2.bam,0.785103174
Pool_5_Jaskiel_Lane1_S5_L003_R1_001_CATC.trim.bt2.bam,0.786220438
Pool_13_Jaskiel_Lane2_S13_L004_R1_001_CTAC.trim.bt2.bam,0.786386778
Pool_7_S7_L001_R1_001_TGTC.trim.bt2.bam,0.787396521
Pool_5_S5_L001_R1_001_GTGA.trim.bt2.bam,0.789127368
Pool_6_S6_L001_R1_001_GTGA.trim.bt2.bam,0.789827361
Pool_1_S1_L001_R1_001_AGAC.trim.bt2.bam,0.790774283
Pool_6_Jaskiel_Lane1_S6_L003_R1_001_GTGA.trim.bt2.bam,0.790939094
Pool_9_S9_L002_R1_001_TGTC.trim.bt2.bam,0.791537553
Pool_9_S9_L002_R1_001_GCTT.trim.bt2.bam,0.791753694
Pool_4_S4_L001_R1_001_CATC.trim.bt2.bam,0.792324716
Pool_6_S6_L001_R1_001_CATC.trim.bt2.bam,0.792713805
Pool_7_Jaskiel_Lane1_S7_L003_R1_001_TCAG.trim.bt2.bam,0.795015823
Pool_7_Jaskiel_Lane1_S7_L003_R1_001_GCTT.trim.bt2.bam,0.798015682
Pool_11_S11_L002_R1_001_CTAC.trim.bt2.bam,0.798502002
Pool_3_S3_L001_R1_001_GTGA.trim.bt2.bam,0.79859638
Pool_5_Jaskiel_Lane1_S5_L003_R1_001_ACCA.trim.bt2.bam,0.799723176
Pool_4_S4_L001_R1_001_ACCA.trim.bt2.bam,0.801120523
